service_request_id,requested_datetime,updated_datetime,status_description,status_notes,agency_responsible,service_name,service_subtype,service_details,address,street,supervisor_district,neighborhoods_sffind_boundaries,police_district,lat,long,point,source,bos_2012,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,:@computed_region_p5aj_wyqh,:@computed_region_fyvs_ahh9,:@computed_region_f58d_8dbm,:@computed_region_vtsz_7cme,:@computed_region_sruu_94in,:@computed_region_6pnf_4xz7,:@computed_region_jwn9_ihcz,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_2dwj_jsy4,:@computed_region_nqbw_i6c3,:@computed_region_9dfj_4gjx,:@computed_region_4isq_27mq,:@computed_region_viu7_rrfi,:@computed_region_fcz8_est8,media_url,closed_date,:@computed_region_n4xg_c4py,:@computed_region_y6ts_4iup
17598691,2023-11-28T01:05:48.000,2023-11-28T05:46:05.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3408 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.775893606741,-122.495362952111,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77589361', 'longitude': '-122.49536295'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,5,,,,,,,,,
17598688,2023-11-28T01:01:40.000,2023-11-28T05:45:59.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1905 15TH ST, SAN FRANCISCO, CA, 94114",15TH ST,8,Mission Dolores,MISSION,37.766187983985,-122.426707557393,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76618798', 'longitude': '-122.42670756'}",Mobile/Open311,8,37,3,5,5,5,8,7,28862,4,3,3,37,5,1,37,,,,,,5,,,,,,,,
17598687,2023-11-28T01:01:38.000,2023-11-28T01:02:25.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1396 23RD AVE, SAN FRANCISCO, CA, 94122",23RD AVE,4,Outer Sunset,TARAVAL,37.761573703063,-122.481127046163,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7615737', 'longitude': '-122.48112705'}",Mobile/Open311,4,39,10,7,35,3,1,5,56,8,35,35,39,7,1,39,,,,,,,,,,,,,,
17598686,2023-11-28T01:00:11.000,2023-11-28T05:45:39.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1098 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",THE EMBARCADERO,3,Northern Waterfront,CENTRAL,37.803981187789,-122.401645733158,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80398119', 'longitude': '-122.40164573'}",Mobile/Open311,3,77,6,3,8,10,3,1,28860,1,6,6,77,3,1,77,,,,,,,,,,,,,,
17598684,2023-11-28T00:50:00.000,2023-11-28T00:51:15.000,Open,open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1819 CLAY ST, SAN FRANCISCO, CA, 94109",CLAY ST,2,Pacific Heights,NORTHERN,37.792178474126,-122.42302316925,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79217847', 'longitude': '-122.42302317'}",Mobile/Open311,2,102,4,6,30,1,13,6,28858,9,27,27,102,6,1,102,,,,,,,,,,,,,,
17598683,2023-11-28T00:47:57.000,2023-11-28T00:48:14.000,Open,N/A,RPD NSA Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Horticultural_Bushes_Plants,Intersection of LYON ST and OAK ST,LYON ST,5,Buena Vista,PARK,37.772729138332,-122.442567344432,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77272914', 'longitude': '-122.44256734'}",Mobile/Open311,5,24,7,11,12,11,15,8,29492,5,8,8,24,11,1,24,,,,,,,,,,,,,,
17598682,2023-11-28T00:47:38.000,2023-11-28T05:45:33.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4404 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,1,Presidio Terrace,RICHMOND,37.785044343659,-122.46481385095,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78504434', 'longitude': '-122.46481385'}",Mobile/Open311,1,4,8,4,11,2,11,9,54,6,11,11,4,4,1,4,,,,,,,,,,,,,,
17598681,2023-11-28T00:47:00.000,2023-11-28T00:50:37.000,Open,sent,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"2395 FRANCISCO ST, SAN FRANCISCO, CA, 94123",FRANCISCO ST,2,Marina,NORTHERN,37.800687662541,-122.444517726184,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80068766', 'longitude': '-122.44451773'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598680,2023-11-28T00:45:41.000,2023-11-28T05:45:28.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"600 THE EMBARCADERO, SAN FRANCISCO, CA, 94127",THE EMBARCADERO,3,Northern Waterfront,CENTRAL,37.800975814497,-122.398971822227,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80097581', 'longitude': '-122.39897182'}",Mobile/Open311,3,77,6,3,8,10,3,1,28860,1,6,6,77,3,1,77,,,,,,,,,,,,,,
17598678,2023-11-28T00:42:09.000,2023-11-28T05:45:23.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1195 MCALLISTER ST, SAN FRANCISCO, CA, 94117",MCALLISTER ST,5,Western Addition,NORTHERN,37.778447683788,-122.431639284012,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77844768', 'longitude': '-122.43163928'}",Mobile/Open311,5,97,4,11,39,11,15,6,29492,9,41,41,97,11,2,97,,,,,,,,,,,,,,
17598677,2023-11-28T00:39:12.000,2023-11-28T05:45:15.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3650 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.775761728985,-122.498277189251,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77576173', 'longitude': '-122.49827719'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598675,2023-11-28T00:37:39.000,2023-11-28T05:43:35.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of KEARNY ST and WASHINGTON ST,KEARNY ST,3,Chinatown,CENTRAL,37.79529877927,-122.404969623113,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79529878', 'longitude': '-122.40496962'}",Mobile/Open311,3,104,6,3,6,10,3,1,28857,1,4,4,104,3,2,104,5,,,,,,5,5,,,,,,
17598674,2023-11-28T00:36:00.000,2023-11-28T00:40:32.000,Open,sent,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"1852 JEFFERSON ST, SAN FRANCISCO, CA, 94123",JEFFERSON ST,2,Marina,NORTHERN,37.804795734537,-122.443023591471,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80479573', 'longitude': '-122.44302359'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598673,2023-11-28T00:34:52.000,2023-11-28T05:43:28.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1000 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,2,Cathedral Hill,NORTHERN,37.783668002715,-122.422842839921,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.783668', 'longitude': '-122.42284284'}",Mobile/Open311,5,100,4,11,39,11,7,6,28858,9,41,41,100,11,2,100,,,,,,,,,,,,,,
17598672,2023-11-28T00:34:50.000,2023-11-28T05:43:21.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"694 28TH AVE, SAN FRANCISCO, CA, 94121",28TH AVE,1,Outer Richmond,RICHMOND,37.776251471358,-122.487515556122,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77625147', 'longitude': '-122.48751556'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598671,2023-11-28T00:33:43.000,2023-11-28T05:43:13.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2396 WEBSTER ST, SAN FRANCISCO, CA, 94115",WEBSTER ST,2,Pacific Heights,NORTHERN,37.792607155635,-122.432744689398,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79260716', 'longitude': '-122.43274469'}",Mobile/Open311,2,102,4,6,30,1,13,6,29490,9,27,27,102,6,1,102,,,,,,,,,,,,,,
17598669,2023-11-28T00:28:05.000,2023-11-28T05:43:06.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of MASON ST and PINE ST,MASON ST,3,Nob Hill,CENTRAL,37.790848054386,-122.410480012518,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79084805', 'longitude': '-122.41048001'}",Mobile/Open311,3,16,6,3,21,10,5,1,28857,1,21,21,16,3,1,16,,,,,,,,,,,,,,
17598668,2023-11-28T00:27:19.000,2023-11-28T00:28:15.000,Open,open,DPH - Environmental Health - Noise Queue,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"1807 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,5,Western Addition,NORTHERN,37.783845728666,-122.43309372875,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78384573', 'longitude': '-122.43309373'}",Mobile/Open311,5,97,4,11,39,11,13,6,29490,9,41,41,97,11,2,97,,,,,,,,,24,,,,,
17598667,2023-11-28T00:27:05.000,2023-11-28T05:20:00.000,Open,,PUC - Water - G,General Request - PUC,request_for_service,water - request_for_service,"26 WANDA ST, SAN FRANCISCO, CA, 94112",WANDA ST,11,Cayuga,INGLESIDE,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Web,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598666,2023-11-28T00:25:00.000,2023-11-28T00:30:39.000,Open,sent,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of WEBSTER ST and NORTH POINT ST,WEBSTER ST,2,Marina,NORTHERN,37.803766566393,-122.435253758974,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80376657', 'longitude': '-122.43525376'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598662,2023-11-28T00:22:23.000,2023-11-28T05:42:57.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1995 UNION ST, SAN FRANCISCO, CA, 94123",UNION ST,2,Union Street,NORTHERN,37.79746213,-122.4320396,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79746213', 'longitude': '-122.4320396'}",Mobile/Open311,2,15,4,6,13,1,13,6,57,9,17,17,15,6,1,15,,,,,,,,,,,,,,
17598661,2023-11-28T00:21:46.000,2023-11-28T05:42:52.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3800 FOLSOM ST, SAN FRANCISCO, CA, 94110",FOLSOM ST,9,Bernal Heights,INGLESIDE,37.738915444532,-122.413479453536,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.73891544', 'longitude': '-122.41347945'}",Mobile/Open311,9,83,9,2,2,7,2,4,28859,7,2,2,83,2,1,83,,,,,,,,,,,,,,
17598659,2023-11-28T00:18:00.000,2023-11-28T00:20:35.000,Open,sent,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of CAPRA WAY and MALLORCA WAY,CAPRA WAY,2,Marina,NORTHERN,37.802940143089,-122.438641052445,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80294014', 'longitude': '-122.43864105'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598658,2023-11-28T00:18:02.000,2023-11-28T05:42:33.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2494 SUTTER ST, SAN FRANCISCO, CA, 94115",SUTTER ST,2,Lower Pacific Heights,RICHMOND,37.785137317605,-122.441278472656,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78513732', 'longitude': '-122.44127847'}",Mobile/Open311,2,103,8,6,30,1,15,9,29490,6,27,27,103,6,1,103,,,,,,,,,,,,,,
17598657,2023-11-28T00:17:00.000,2023-11-28T00:20:32.000,Open,sent,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of CAPRA WAY and MALLORCA WAY,CAPRA WAY,2,Marina,NORTHERN,37.802862944842,-122.438645762405,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80286294', 'longitude': '-122.43864576'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598653,2023-11-28T00:08:13.000,2023-11-28T00:09:15.000,Open,N/A,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,Abandoned Vehicle,"920 HARRISON ST, SAN FRANCISCO, CA, 94107",HARRISON ST,6,South of Market,SOUTHERN,37.778710908735,-122.402454838157,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77871091', 'longitude': '-122.40245484'}",Mobile/Open311,6,32,1,10,34,9,14,2,28856,2,34,34,32,10,2,32,,4,,,,,,,,,,,,
17598652,2023-11-28T00:05:14.000,2023-11-28T05:42:26.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"6900 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,1,Outer Richmond,RICHMOND,37.779860082118,-122.493576016391,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77986008', 'longitude': '-122.49357602'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598647,2023-11-27T23:54:11.000,2023-11-28T05:42:21.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"501 BRYANT ST, SAN FRANCISCO, CA, 94107",BRYANT ST,6,South of Market,SOUTHERN,37.781297022229,-122.395658312365,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78129702', 'longitude': '-122.39565831'}",Mobile/Open311,6,31,1,10,8,9,6,2,28856,2,6,6,31,10,1,31,,,,,,,,,,,,,,
17598646,2023-11-27T23:52:29.000,2023-11-28T05:42:14.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"130 BATTERY ST, SAN FRANCISCO, CA, 94111",BATTERY ST,3,Financial District,CENTRAL,37.792686768718,-122.399763241416,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79268677', 'longitude': '-122.39976324'}",Mobile/Open311,3,108,6,3,8,10,4,1,28854,1,6,6,108,3,2,108,,,,,,,,,,,,,,
17598645,2023-11-27T23:51:47.000,2023-11-28T05:42:08.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"703 OAK ST, SAN FRANCISCO, CA, 94117",OAK ST,5,Lower Haight,NORTHERN,37.773831393057,-122.430909186908,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77383139', 'longitude': '-122.43090919'}",Mobile/Open311,5,26,4,11,9,11,15,6,29492,9,10,10,26,11,1,26,,,,,,,,,,,,,,
17598643,2023-11-27T23:46:00.000,2023-11-28T00:25:06.000,Open,in progress,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"555 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,5,Tenderloin,TENDERLOIN,37.786186294126,-122.416537800332,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78618629', 'longitude': '-122.4165378'}",Mobile/Open311,6,20,5,10,36,9,13,10,28858,10,36,36,20,10,2,20,,,1,1,,,,,,,,,,
17598640,2023-11-27T23:33:44.000,2023-11-28T05:42:01.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"228 DRUMM ST, SAN FRANCISCO, CA, 94111",DRUMM ST,3,Financial District,CENTRAL,37.795731810362,-122.396628060151,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79573181', 'longitude': '-122.39662806'}",Mobile/Open311,3,108,6,3,8,10,3,1,28860,1,6,6,108,3,1,108,,,,,,4,,,,4,,,,
17598624,2023-11-27T23:19:26.000,2023-11-28T05:41:55.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1747 CHURCH ST, SAN FRANCISCO, CA, 94131",CHURCH ST,8,Noe Valley,INGLESIDE,37.743067638937,-122.426516699636,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.74306764', 'longitude': '-122.4265167'}",Mobile/Open311,8,84,9,5,22,5,2,4,63,7,22,22,84,5,1,84,,,,,,,,,,,,,,
17598602,2023-11-27T22:49:53.000,2023-11-28T05:41:49.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1059 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,3,Nob Hill,CENTRAL,37.791050073498,-122.415814500453,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79105007', 'longitude': '-122.4158145'}",Mobile/Open311,3,16,6,3,21,10,13,1,28858,1,21,21,16,3,1,16,,,,,,,,,,,,,,
17598597,2023-11-27T22:44:52.000,2023-11-28T05:40:29.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1490 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,3,Polk Gulch,NORTHERN,37.790458226211,-122.420583550915,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79045823', 'longitude': '-122.42058355'}",Mobile/Open311,3,105,4,3,21,10,13,6,28858,9,21,21,105,3,1,105,,10,,,,,,,,,,,,
